Transaction_ID,Date,Branch,Product_Category,Product_Name,Unit_Price,Quantity,Total_Price_Before_Disc,Discount_Amount,Net_Sales,Customer_Type,Payment_Method,Satisfaction_Score,Return_Flag
TXN-20240644,1/14/2024,Bangkok Sathorn,Electronics,Smartphone X1,25000,1,25000,1250,23750,VIP,QR Code,4,No
TXN-20240689,1/14/2024,Phuket,Electronics,Headphones Pro,5500,1,5500,275,5225,VIP,QR Code,5,No
TXN-20241003,1/14/2024,Phuket,Home & Living,Ceramic Vase,550,1,550,0,550,Regular,Credit Card,5,No
TXN-20240767,1/15/2024,Chiang Mai,Electronics,Smart Watch V2,8900,1,8900,0,8900,Regular,Cash,5,No
TXN-20240251,1/16/2024,Phuket,Fashion,Sneakers Run,2500,1,2500,0,2500,Regular,Credit Card,4,No
TXN-20240600,1/16/2024,Chiang Mai,Electronics,Smartphone X1,25000,5,125000,0,125000,Member,QR Code,3,No
TXN-20240795,1/16/2024,Khon Kaen,Electronics,Smart Watch V2,8900,1,8900,0,8900,Regular,QR Code,4,No
TXN-20240811,1/16/2024,Phuket,Home & Living,Bed Sheet Set,1800,1,1800,0,1800,Regular,QR Code,5,No
TXN-20240879,1/16/2024,Chiang Mai,Fashion,Denim Jeans,1200,2,2400,0,2400,Regular,QR Code,2,No
TXN-20240007,1/17/2024,Bangkok Main,Fashion,Sneakers Run,2500,1,2500,0,2500,Regular,Credit Card,5,No
TXN-20240222,1/17/2024,Bangkok Sathorn,Fashion,Leather Bag,3500,2,7000,0,7000,Regular,QR Code,4,No
TXN-20240422,1/17/2024,Bangkok Sathorn,Electronics,Smartphone X1,25000,3,75000,0,75000,Regular,Credit Card,4,No
TXN-20240568,1/17/2024,Bangkok Main,Home & Living,Coffee Maker,3500,5,17500,0,17500,Member,Credit Card,4,No
TXN-20240575,1/17/2024,Bangkok Main,Electronics,Smartphone X1,25000,1,25000,0,25000,Regular,Credit Card,4,No
TXN-20240586,1/17/2024,Khon Kaen,Electronics,Laptop Pro 14,45000,3,135000,0,135000,Regular,Cash,4,Yes
TXN-20240610,1/17/2024,Bangkok Sathorn,Fashion,Formal Shirt,890,1,890,0,890,Member,Cash,3,No
TXN-20241257,1/17/2024,Bangkok Main,Electronics,Laptop Pro 14,45000,1,45000,0,45000,Regular,Credit Card,5,No
TXN-20241343,1/17/2024,Chiang Mai,Fashion,Sneakers Run,2500,2,5000,0,5000,Regular,Cash,5,No
TXN-20241362,1/17/2024,Chiang Mai,Electronics,Tablet Air,18500,2,37000,0,37000,Regular,Credit Card,1,No
TXN-20241401,1/17/2024,Khon Kaen,Fashion,Sneakers Run,2500,1,2500,0,2500,Regular,QR Code,5,No
TXN-20240376,1/18/2024,Chiang Mai,Home & Living,Coffee Maker,3500,3,10500,0,10500,Regular,Cash,1,No
TXN-20240558,1/18/2024,Bangkok Sathorn,Fashion,Sneakers Run,2500,1,2500,0,2500,Regular,Credit Card,5,No
TXN-20240635,1/18/2024,Chiang Mai,Fashion,Formal Shirt,890,1,890,0,890,Regular,Cash,3,No
TXN-20240997,1/18/2024,Chiang Mai,Electronics,Laptop Pro 14,45000,1,45000,2250,42750,VIP,Cash,5,No
TXN-20241485,1/18/2024,Chiang Mai,Electronics,Laptop Pro 14,45000,1,45000,0,45000,Regular,Cash,5,No
TXN-20241492,1/18/2024,Bangkok Main,Electronics,Headphones Pro,5500,3,16500,0,16500,Regular,Cash,1,Yes
TXN-20240408,1/19/2024,Chiang Mai,Electronics,Tablet Air,18500,1,18500,0,18500,Regular,Credit Card,5,No
TXN-20240531,1/19/2024,Bangkok Sathorn,Home & Living,Desk Lamp,790,3,2370,0,2370,Regular,Cash,5,No
TXN-20241489,1/19/2024,Chiang Mai,Home & Living,Ceramic Vase,550,1,550,0,550,Member,Cash,4,No
TXN-20240085,1/20/2024,Khon Kaen,Fashion,Denim Jeans,1200,1,1200,0,1200,Member,QR Code,4,No
TXN-20240641,1/20/2024,Chiang Mai,Electronics,Headphones Pro,5500,1,5500,0,5500,Member,QR Code,3,No
TXN-20240681,1/20/2024,Chiang Mai,Electronics,Laptop Pro 14,45000,1,45000,0,45000,Member,Cash,4,No
TXN-20241082,1/20/2024,Bangkok Main,Fashion,Leather Bag,3500,1,3500,175,3325,VIP,Credit Card,3,No
TXN-20240285,1/21/2024,Chiang Mai,Fashion,Leather Bag,3500,1,3500,0,3500,Regular,Cash,5,No
TXN-20240692,1/21/2024,Bangkok Sathorn,Electronics,Tablet Air,18500,3,55500,0,55500,Regular,QR Code,1,Yes
TXN-20240904,1/22/2024,Khon Kaen,Fashion,Leather Bag,3500,1,3500,0,3500,Regular,Cash,4,No
TXN-20240040,1/23/2024,Chiang Mai,Home & Living,Bed Sheet Set,1800,1,1800,0,1800,Regular,Cash,4,No
TXN-20240192,1/23/2024,Khon Kaen,Electronics,Laptop Pro 14,45000,2,90000,0,90000,Regular,Credit Card,4,No
TXN-20240545,1/23/2024,Bangkok Main,Home & Living,Air Purifier,4200,1,4200,0,4200,Regular,Credit Card,5,No
TXN-20240667,1/23/2024,Bangkok Main,Home & Living,Bed Sheet Set,1800,1,1800,0,1800,Regular,QR Code,4,No
TXN-20240708,1/23/2024,Bangkok Main,Electronics,Tablet Air,18500,1,18500,0,18500,Regular,QR Code,1,Yes
TXN-20240262,1/24/2024,Chiang Mai,Home & Living,Desk Lamp,790,1,790,0,790,Member,Credit Card,4,No
TXN-20241114,1/24/2024,Bangkok Main,Electronics,Tablet Air,18500,1,18500,0,18500,Regular,Credit Card,3,No
TXN-20241383,1/24/2024,Bangkok Main,Electronics,Laptop Pro 14,45000,1,45000,0,45000,Member,QR Code,3,No
TXN-20240935,1/25/2024,Chiang Mai,Electronics,Smartphone X1,25000,1,25000,0,25000,Regular,Cash,4,No
TXN-20240943,1/25/2024,Chiang Mai,Home & Living,Coffee Maker,3500,2,7000,0,7000,Regular,Cash,3,No
TXN-20241015,1/25/2024,Bangkok Sathorn,Electronics,Smart Watch V2,8900,4,35600,0,35600,Member,Credit Card,2,Yes
TXN-20241126,1/25/2024,Bangkok Sathorn,Home & Living,Desk Lamp,790,2,1580,0,1580,Regular,Cash,5,No
TXN-20240072,1/26/2024,Chiang Mai,Home & Living,Ceramic Vase,550,2,1100,0,1100,Regular,QR Code,3,No
TXN-20240532,1/26/2024,Khon Kaen,Fashion,Formal Shirt,890,2,1780,89,1691,VIP,QR Code,3,No
TXN-20240931,1/26/2024,Chiang Mai,Electronics,Laptop Pro 14,45000,1,45000,0,45000,Regular,QR Code,3,No
TXN-20241275,1/26/2024,Khon Kaen,Electronics,Smart Watch V2,8900,1,8900,0,8900,Member,Credit Card,4,Yes
TXN-20241395,1/26/2024,Khon Kaen,Home & Living,Coffee Maker,3500,1,3500,0,3500,Regular,Credit Card,3,No
TXN-20240002,1/27/2024,Bangkok Sathorn,Home & Living,Bed Sheet Set,1800,2,3600,0,3600,Member,Cash,5,No
TXN-20240051,1/27/2024,Bangkok Main,Home & Living,Coffee Maker,3500,3,10500,0,10500,Regular,QR Code,4,No
TXN-20241007,1/27/2024,Bangkok Sathorn,Fashion,Denim Jeans,1200,1,1200,0,1200,Regular,Credit Card,3,Yes
TXN-20241468,1/27/2024,Phuket,Electronics,Laptop Pro 14,45000,1,45000,0,45000,Regular,Credit Card,4,No
TXN-20240401,1/28/2024,Bangkok Main,Home & Living,Ceramic Vase,550,4,2200,0,2200,Regular,QR Code,4,No
TXN-20240441,1/28/2024,Chiang Mai,Fashion,Denim Jeans,1200,3,3600,0,3600,Regular,QR Code,4,No
TXN-20240452,1/28/2024,Phuket,Fashion,Formal Shirt,890,1,890,0,890,Regular,Credit Card,4,No
TXN-20240744,1/28/2024,Chiang Mai,Electronics,Laptop Pro 14,45000,1,45000,0,45000,Regular,Credit Card,3,No
TXN-20240956,1/28/2024,Bangkok Sathorn,Fashion,Denim Jeans,1200,2,2400,0,2400,Member,QR Code,5,No
TXN-20240043,1/29/2024,Chiang Mai,Electronics,Smart Watch V2,8900,1,8900,0,8900,Regular,QR Code,5,No
TXN-20240125,1/29/2024,Khon Kaen,Fashion,Leather Bag,3500,2,7000,0,7000,Regular,QR Code,4,No
TXN-20240372,1/29/2024,Chiang Mai,Fashion,Leather Bag,3500,1,3500,175,3325,VIP,Credit Card,3,No
TXN-20241089,1/29/2024,Bangkok Main,Electronics,Headphones Pro,5500,1,5500,0,5500,Regular,Cash,4,No
TXN-20241367,1/29/2024,Bangkok Main,Electronics,Tablet Air,18500,1,18500,0,18500,Member,Cash,4,No
TXN-20241372,1/29/2024,Phuket,Fashion,Formal Shirt,890,1,890,0,890,Regular,Credit Card,4,No
TXN-20240412,1/30/2024,Phuket,Fashion,Leather Bag,3500,1,3500,0,3500,Member,QR Code,3,No
TXN-20240927,1/30/2024,Chiang Mai,Fashion,Summer T-Shirt,450,2,900,0,900,Regular,QR Code,4,No
TXN-20241043,1/30/2024,Phuket,Home & Living,Air Purifier,4200,2,8400,0,8400,Member,QR Code,4,No
TXN-20240519,1/31/2024,Phuket,Home & Living,Ceramic Vase,550,1,550,0,550,Regular,QR Code,5,No
TXN-20240686,1/31/2024,Khon Kaen,Fashion,Denim Jeans,1200,1,1200,0,1200,Member,QR Code,5,No
TXN-20240709,1/31/2024,Bangkok Main,Electronics,Tablet Air,18500,1,18500,0,18500,Regular,Credit Card,4,No
TXN-20241032,1/31/2024,Bangkok Main,Electronics,Smart Watch V2,8900,2,17800,0,17800,Member,Credit Card,4,No
TXN-20240292,2/1/2024,Chiang Mai,Home & Living,Coffee Maker,3500,1,3500,0,3500,Member,Credit Card,4,No
TXN-20240655,2/1/2024,Phuket,Electronics,Tablet Air,18500,1,18500,0,18500,Member,Credit Card,4,No
TXN-20240917,2/1/2024,Bangkok Main,Electronics,Tablet Air,18500,3,55500,0,55500,Member,Credit Card,3,No
TXN-20241344,2/2/2024,Phuket,Electronics,Laptop Pro 14,45000,2,90000,0,90000,Regular,Credit Card,1,Yes
TXN-20241457,2/2/2024,Chiang Mai,Electronics,Laptop Pro 14,45000,2,90000,0,90000,Regular,QR Code,4,No
TXN-20241477,2/2/2024,Khon Kaen,Fashion,Denim Jeans,1200,2,2400,0,2400,Member,Cash,5,No
TXN-20240978,2/3/2024,Chiang Mai,Home & Living,Coffee Maker,3500,2,7000,350,6650,VIP,Cash,5,No
TXN-20241172,2/3/2024,Phuket,Electronics,Tablet Air,18500,1,18500,0,18500,Regular,QR Code,4,No
TXN-20241299,2/3/2024,Phuket,Home & Living,Ceramic Vase,550,1,550,0,550,Regular,QR Code,4,No
TXN-20240141,2/4/2024,Chiang Mai,Fashion,Denim Jeans,1200,1,1200,0,1200,Member,QR Code,4,No
TXN-20240335,2/4/2024,Chiang Mai,Home & Living,Bed Sheet Set,1800,2,3600,0,3600,Regular,Credit Card,5,No
TXN-20240627,2/4/2024,Khon Kaen,Electronics,Laptop Pro 14,45000,1,45000,0,45000,Member,QR Code,3,Yes
TXN-20240831,2/4/2024,Bangkok Main,Electronics,Laptop Pro 14,45000,2,90000,0,90000,Regular,Cash,3,No
TXN-20241054,2/4/2024,Chiang Mai,Electronics,Laptop Pro 14,45000,1,45000,0,45000,Regular,Credit Card,1,Yes
TXN-20241090,2/4/2024,Khon Kaen,Fashion,Formal Shirt,890,2,1780,0,1780,Regular,Credit Card,4,No
TXN-20240894,2/5/2024,Bangkok Main,Electronics,Headphones Pro,5500,1,5500,0,5500,Regular,Credit Card,1,Yes
TXN-20240005,2/6/2024,Chiang Mai,Electronics,Tablet Air,18500,1,18500,0,18500,Member,QR Code,4,No
TXN-20240053,2/6/2024,Bangkok Main,Home & Living,Desk Lamp,790,1,790,39.5,750.5,VIP,Cash,4,No
TXN-20240508,2/6/2024,Bangkok Main,Electronics,Smart Watch V2,8900,1,8900,0,8900,Regular,Credit Card,5,No
TXN-20241322,2/6/2024,Phuket,Home & Living,Ceramic Vase,550,3,1650,0,1650,Regular,Credit Card,3,No
TXN-20240139,2/7/2024,Phuket,Electronics,Smartphone X1,25000,3,75000,0,75000,Regular,QR Code,3,No
TXN-20240756,2/7/2024,Chiang Mai,Electronics,Laptop Pro 14,45000,1,45000,0,45000,Regular,Credit Card,5,No
TXN-20240853,2/7/2024,Bangkok Sathorn,Fashion,Denim Jeans,1200,1,1200,60,1140,VIP,Cash,5,No
TXN-20240895,2/7/2024,Chiang Mai,Electronics,Headphones Pro,5500,1,5500,0,5500,Regular,Credit Card,5,No
TXN-20241049,2/7/2024,Bangkok Sathorn,Fashion,Sneakers Run,2500,1,2500,0,2500,Member,Cash,5,No
TXN-20241051,2/7/2024,Bangkok Sathorn,Fashion,Formal Shirt,890,1,890,0,890,Regular,Cash,4,No
TXN-20241145,2/7/2024,Phuket,Fashion,Sneakers Run,2500,1,2500,0,2500,Regular,Cash,4,No
TXN-20241311,2/7/2024,Bangkok Main,Fashion,Denim Jeans,1200,1,1200,0,1200,Member,Credit Card,5,No
TXN-20240104,2/8/2024,Khon Kaen,Fashion,Leather Bag,3500,1,3500,0,3500,Member,QR Code,4,No
TXN-20240497,2/8/2024,Khon Kaen,Home & Living,Desk Lamp,790,1,790,39.5,750.5,VIP,Cash,5,No
TXN-20241171,2/8/2024,Bangkok Main,Electronics,Laptop Pro 14,45000,2,90000,0,90000,Member,QR Code,1,Yes
TXN-20241441,2/8/2024,Chiang Mai,Home & Living,Desk Lamp,790,1,790,0,790,Regular,QR Code,4,No
TXN-20240067,2/9/2024,Chiang Mai,Home & Living,Coffee Maker,3500,1,3500,175,3325,VIP,QR Code,4,No
TXN-20240673,2/9/2024,Bangkok Sathorn,Electronics,Tablet Air,18500,1,18500,0,18500,Regular,Cash,4,No
TXN-20241215,2/9/2024,Bangkok Main,Electronics,Tablet Air,18500,2,37000,0,37000,Member,Cash,4,No
TXN-20241451,2/9/2024,Bangkok Main,Electronics,Smartphone X1,25000,3,75000,0,75000,Member,QR Code,5,No
TXN-20240006,2/10/2024,Phuket,Electronics,Tablet Air,18500,1,18500,0,18500,Member,Cash,1,No
TXN-20240117,2/10/2024,Khon Kaen,Fashion,Sneakers Run,2500,2,5000,0,5000,Regular,Credit Card,1,No
TXN-20240389,2/10/2024,Chiang Mai,Fashion,Formal Shirt,890,1,890,0,890,Regular,Credit Card,5,No
TXN-20241040,2/10/2024,Khon Kaen,Home & Living,Bed Sheet Set,1800,4,7200,0,7200,Member,Cash,3,No
TXN-20240475,2/11/2024,Chiang Mai,Fashion,Leather Bag,3500,1,3500,0,3500,Regular,QR Code,3,No
TXN-20240595,2/11/2024,Bangkok Main,Fashion,Sneakers Run,2500,2,5000,0,5000,Regular,QR Code,4,No
TXN-20240918,2/11/2024,Phuket,Home & Living,Bed Sheet Set,1800,1,1800,0,1800,Member,Cash,4,No
TXN-20241046,2/11/2024,Khon Kaen,Electronics,Tablet Air,18500,1,18500,925,17575,VIP,Cash,4,No
TXN-20241201,2/11/2024,Bangkok Main,Electronics,Smartphone X1,25000,2,50000,0,50000,Regular,Credit Card,1,Yes
TXN-20241338,2/11/2024,Phuket,Electronics,Smart Watch V2,8900,1,8900,0,8900,Regular,QR Code,1,Yes
TXN-20241463,2/11/2024,Bangkok Sathorn,Electronics,Smartphone X1,25000,1,25000,0,25000,Member,Credit Card,4,Yes
TXN-20241092,2/12/2024,Bangkok Main,Electronics,Headphones Pro,5500,3,16500,0,16500,Regular,Credit Card,5,No
TXN-20240203,2/13/2024,Khon Kaen,Home & Living,Bed Sheet Set,1800,1,1800,90,1710,VIP,Cash,4,No
TXN-20240248,2/13/2024,Phuket,Fashion,Leather Bag,3500,2,7000,0,7000,Regular,QR Code,3,No
TXN-20240932,2/13/2024,Khon Kaen,Electronics,Tablet Air,18500,2,37000,0,37000,Member,QR Code,1,Yes
TXN-20241081,2/13/2024,Bangkok Sathorn,Home & Living,Coffee Maker,3500,1,3500,0,3500,Regular,Cash,1,Yes
TXN-20241128,2/13/2024,Khon Kaen,Fashion,Summer T-Shirt,450,2,900,0,900,Regular,QR Code,5,No
TXN-20240230,2/14/2024,Bangkok Main,Home & Living,Desk Lamp,790,2,1580,0,1580,Member,Credit Card,5,No
TXN-20240481,2/14/2024,Chiang Mai,Home & Living,Ceramic Vase,550,1,550,0,550,Member,Cash,5,No
TXN-20240512,2/14/2024,Bangkok Main,Home & Living,Ceramic Vase,550,1,550,0,550,Member,Cash,5,No
TXN-20241017,2/14/2024,Bangkok Sathorn,Fashion,Leather Bag,3500,1,3500,0,3500,Regular,QR Code,5,No
TXN-20240137,2/15/2024,Bangkok Main,Fashion,Denim Jeans,1200,1,1200,0,1200,Regular,Cash,2,No
TXN-20240215,2/15/2024,Bangkok Main,Electronics,Laptop Pro 14,45000,2,90000,0,90000,Member,Credit Card,4,No
TXN-20240646,2/15/2024,Khon Kaen,Fashion,Sneakers Run,2500,1,2500,0,2500,Regular,Credit Card,3,No
TXN-20240653,2/15/2024,Khon Kaen,Fashion,Denim Jeans,1200,2,2400,0,2400,Regular,Cash,3,No
TXN-20240880,2/15/2024,Bangkok Main,Electronics,Tablet Air,18500,1,18500,0,18500,Regular,Cash,3,No
TXN-20240293,2/16/2024,Chiang Mai,Fashion,Leather Bag,3500,1,3500,0,3500,Regular,Cash,5,No
TXN-20240789,2/16/2024,Bangkok Main,Electronics,Smart Watch V2,8900,1,8900,0,8900,Regular,Credit Card,3,No
TXN-20240823,2/16/2024,Chiang Mai,Home & Living,Coffee Maker,3500,1,3500,0,3500,Member,Cash,4,No
TXN-20241410,2/16/2024,Bangkok Main,Fashion,Leather Bag,3500,2,7000,0,7000,Regular,Credit Card,3,No
TXN-20240415,2/17/2024,Chiang Mai,Home & Living,Coffee Maker,3500,2,7000,0,7000,Regular,QR Code,2,No
TXN-20240451,2/17/2024,Bangkok Main,Electronics,Smartphone X1,25000,1,25000,0,25000,Member,Credit Card,4,No
TXN-20240642,2/17/2024,Phuket,Electronics,Smart Watch V2,8900,1,8900,0,8900,Regular,Cash,4,No
TXN-20240666,2/17/2024,Bangkok Sathorn,Electronics,Tablet Air,18500,4,74000,0,74000,Member,QR Code,3,No
TXN-20240740,2/17/2024,Chiang Mai,Home & Living,Bed Sheet Set,1800,2,3600,0,3600,Regular,Cash,4,No
TXN-20240964,2/17/2024,Chiang Mai,Home & Living,Desk Lamp,790,4,3160,0,3160,Regular,Credit Card,5,No
TXN-20241064,2/17/2024,Bangkok Sathorn,Home & Living,Bed Sheet Set,1800,1,1800,0,1800,Regular,Credit Card,4,No
TXN-20240379,2/18/2024,Chiang Mai,Home & Living,Coffee Maker,3500,1,3500,0,3500,Regular,Credit Card,4,No
TXN-20240543,2/18/2024,Bangkok Sathorn,Electronics,Smartphone X1,25000,1,25000,0,25000,Member,Cash,4,No
TXN-20240746,2/18/2024,Chiang Mai,Electronics,Smartphone X1,25000,1,25000,0,25000,Member,QR Code,1,No
TXN-20240808,2/18/2024,Bangkok Main,Fashion,Summer T-Shirt,450,1,450,0,450,Member,Credit Card,3,No
TXN-20240900,2/18/2024,Bangkok Main,Fashion,Formal Shirt,890,2,1780,0,1780,Regular,Cash,4,No
TXN-20241302,2/18/2024,Chiang Mai,Fashion,Denim Jeans,1200,1,1200,60,1140,VIP,QR Code,2,Yes
TXN-20241349,2/18/2024,Bangkok Main,Fashion,Denim Jeans,1200,2,2400,0,2400,Regular,QR Code,4,No
TXN-20240244,2/19/2024,Khon Kaen,Home & Living,Bed Sheet Set,1800,2,3600,0,3600,Regular,Cash,4,No
TXN-20240563,2/19/2024,Chiang Mai,Electronics,Smart Watch V2,8900,5,44500,0,44500,Member,Credit Card,2,No
TXN-20241193,2/19/2024,Khon Kaen,Electronics,Smart Watch V2,8900,1,8900,0,8900,Regular,Cash,2,No
TXN-20241276,2/19/2024,Phuket,Home & Living,Coffee Maker,3500,2,7000,0,7000,Member,Cash,3,No
TXN-20241203,2/20/2024,Chiang Mai,Fashion,Summer T-Shirt,450,1,450,0,450,Regular,Credit Card,3,No
TXN-20241319,2/20/2024,Phuket,Electronics,Smartphone X1,25000,1,25000,0,25000,Member,Credit Card,4,No
TXN-20240049,2/21/2024,Bangkok Sathorn,Home & Living,Coffee Maker,3500,2,7000,0,7000,Regular,Cash,4,No
TXN-20240410,2/21/2024,Bangkok Main,Home & Living,Coffee Maker,3500,2,7000,0,7000,Regular,QR Code,4,No
TXN-20240576,2/21/2024,Chiang Mai,Electronics,Smart Watch V2,8900,1,8900,0,8900,Member,Credit Card,4,No
TXN-20241025,2/21/2024,Bangkok Main,Fashion,Denim Jeans,1200,3,3600,0,3600,Member,Cash,4,No
TXN-20241261,2/21/2024,Chiang Mai,Electronics,Laptop Pro 14,45000,1,45000,0,45000,Regular,QR Code,3,No
TXN-20240014,2/22/2024,Chiang Mai,Electronics,Headphones Pro,5500,3,16500,825,15675,VIP,Cash,1,Yes
TXN-20240202,2/22/2024,Bangkok Sathorn,Electronics,Smartphone X1,25000,1,25000,1250,23750,VIP,QR Code,5,No
TXN-20241330,2/22/2024,Chiang Mai,Home & Living,Bed Sheet Set,1800,1,1800,0,1800,Regular,Cash,4,No
TXN-20241331,2/22/2024,Chiang Mai,Fashion,Leather Bag,3500,2,7000,0,7000,Member,Cash,4,No
TXN-20240477,2/23/2024,Phuket,Fashion,Summer T-Shirt,450,1,450,0,450,Member,Cash,4,No
TXN-20240755,2/23/2024,Khon Kaen,Home & Living,Bed Sheet Set,1800,3,5400,0,5400,Regular,QR Code,4,No
TXN-20241482,2/23/2024,Bangkok Main,Fashion,Leather Bag,3500,1,3500,0,3500,Member,QR Code,5,No
TXN-20240018,2/24/2024,Bangkok Sathorn,Electronics,Laptop Pro 14,45000,1,45000,0,45000,Regular,QR Code,4,No
